text,status,naer_general_rank,written_per_million,spoken_per_million,provenance_ids
先,provisional,155,530.9128231195677,997.3461800740637,naer:coct-general-frequency
老師,provisional,156,345.4077571225884,1353.625011627731,naer:coct-general-frequency
怎麼,provisional,157,561.5927972250026,1313.188888810185,naer:coct-general-frequency
名,provisional,158,537.7888214568625,171.1733319735788,naer:coct-general-frequency
幾,provisional,159,890.8983319133722,647.5408809436234,naer:coct-general-frequency
高,provisional,160,506.8388889871458,592.1405781042711,naer:coct-general-frequency
妳,provisional,161,547.7415511517803,1352.921366799119,naer:coct-general-frequency
應該,provisional,162,651.4293828916548,1014.890391134113,naer:coct-general-frequency
向,provisional,163,912.0146339665306,162.0259492016282,naer:coct-general-frequency
認為,provisional,164,758.960151346599,288.7289280069546,naer:coct-general-frequency
因,provisional,165,459.8740735540072,59.57526215578106,naer:coct-general-frequency
重要,provisional,166,611.1341270466543,814.9614404979402,naer:coct-general-frequency
而且,provisional,167,684.1777144646013,1036.281193923905,naer:coct-general-frequency
學生,provisional,168,453.672971127417,313.4503163188417,naer:coct-general-frequency
你們,provisional,169,400.268854710969,1381.207888909305,naer:coct-general-frequency
媽媽,provisional,170,270.8198490619116,1187.236464488711,naer:coct-general-frequency
美國,provisional,171,569.9297467101752,283.8034142066736,naer:coct-general-frequency
其,provisional,172,1200.747014493727,55.54103180507462,naer:coct-general-frequency
需要,provisional,173,658.8572078853489,718.8904665648382,naer:coct-general-frequency
今天,provisional,174,272.1617009314298,1263.886841152133,naer:coct-general-frequency
本,provisional,175,750.1785645555507,339.2506267012666,naer:coct-general-frequency
一定,provisional,176,545.8439026499173,901.0875675199986,naer:coct-general-frequency
比,provisional,177,670.5329071405357,447.8933882388957,naer:coct-general-frequency
中國,provisional,178,829.967141104597,230.7016844741191,naer:coct-general-frequency
政府,provisional,179,362.8161016428177,268.4639569429409,naer:coct-general-frequency
水,provisional,180,337.4558953041119,931.7195723922232,naer:coct-general-frequency
社會,provisional,181,694.2336635340976,356.9824763822786,naer:coct-general-frequency
世界,provisional,182,649.3610254241428,491.2379096813694,naer:coct-general-frequency
至,provisional,183,397.2715228722522,49.58350558949653,naer:coct-general-frequency
今年,provisional,184,40.12057690340647,217.520071351462,naer:coct-general-frequency
的話,provisional,185,287.0967504377246,1331.71820263029,naer:coct-general-frequency
活動,provisional,186,337.0509577576893,328.9774122035374,naer:coct-general-frequency
公司,provisional,187,657.0230789986108,153.3476629820852,naer:coct-general-frequency
不過,provisional,188,635.1167517323338,590.311101549881,naer:coct-general-frequency
成為,provisional,189,568.4013059712271,298.8614135389615,naer:coct-general-frequency
一直,provisional,190,469.0288380839157,873.6454192041467,naer:coct-general-frequency
不要,provisional,191,392.483731882196,932.1886689446308,naer:coct-general-frequency
民眾,provisional,192,67.27918234534229,193.3615989024642,naer:coct-general-frequency
其他,provisional,193,735.6166927881159,379.5929302083308,naer:coct-general-frequency
不同,provisional,194,628.3995524328519,502.5431365943956,naer:coct-general-frequency
一下,provisional,195,321.6593610176827,1196.055479673976,naer:coct-general-frequency
書,provisional,196,683.2963798047404,459.1047958414403,naer:coct-general-frequency
吧,provisional,197,731.4918877809282,713.3551272464273,naer:coct-general-frequency
關係,provisional,198,642.6001563892625,466.0943344723154,naer:coct-general-frequency
喔,provisional,199,95.91461883893726,1438.953674510696,naer:coct-general-frequency
能夠,provisional,200,379.1287328021386,1014.74966216839,naer:coct-general-frequency
曾,provisional,201,519.832620256179,95.74260634641665,naer:coct-general-frequency
們,provisional,202,556.848675970345,553.2055642544299,naer:coct-general-frequency
不能,provisional,203,642.8065951384191,496.2103331368914,naer:coct-general-frequency
事情,provisional,204,438.9403903943335,982.5227290179796,naer:coct-general-frequency
最後,provisional,205,521.3253312116193,451.0363351400274,naer:coct-general-frequency
無,provisional,206,618.2562638925586,176.6617616367492,naer:coct-general-frequency
整,provisional,207,410.2454042615589,823.3582687860387,naer:coct-general-frequency
心,provisional,208,707.4457434801235,508.1253855680475,naer:coct-general-frequency
發展,provisional,209,462.7562760903097,267.3850348724031,naer:coct-general-frequency
該,provisional,210,576.571516466696,193.6430568339088,naer:coct-general-frequency
